Count_V,Count_A,Count_R,Count_K,Label Learning Style
8,4,1,5,Visual
7,2,4,3,Visual
10,5,2,1,Visual
9,3,5,2,Visual
7,4,2,3,Visual
9,3,4,5,Visual
10,3,5,2,Visual
10,4,1,2,Visual
9,2,2,4,Visual
9,4,2,1,Visual
8,5,1,4,Visual
9,2,3,3,Visual
8,2,1,2,Visual
8,5,2,3,Visual
10,1,3,5,Visual
9,1,3,5,Visual
10,1,1,2,Visual
9,4,5,5,Visual
7,3,4,3,Visual
7,5,5,2,Visual
10,4,3,1,Visual
8,5,3,2,Visual
8,1,3,2,Visual
10,2,1,3,Visual
10,2,5,2,Visual
1,7,2,1,Aural
4,9,2,2,Aural
2,7,3,2,Aural
1,9,1,2,Aural
1,8,2,5,Aural
2,8,5,1,Aural
2,8,3,3,Aural
5,7,3,4,Aural
4,7,2,5,Aural
1,8,4,5,Aural
1,8,5,2,Aural
1,7,2,4,Aural
1,7,4,4,Aural
4,7,1,4,Aural
5,9,1,3,Aural
3,8,5,3,Aural
4,7,5,4,Aural
3,7,5,5,Aural
5,8,2,5,Aural
3,8,3,5,Aural
2,10,4,2,Aural
4,7,3,4,Aural
4,9,1,4,Aural
3,8,2,1,Aural
4,8,1,3,Aural
5,2,10,2,Read/Write
5,5,7,2,Read/Write
5,1,8,3,Read/Write
2,2,10,1,Read/Write
5,3,8,2,Read/Write
3,5,7,3,Read/Write
1,5,9,2,Read/Write
5,4,8,5,Read/Write
5,3,8,5,Read/Write
4,3,9,4,Read/Write
2,1,8,1,Read/Write
4,1,7,2,Read/Write
1,4,9,4,Read/Write
3,3,9,1,Read/Write
3,2,7,5,Read/Write
1,1,7,1,Read/Write
2,4,7,1,Read/Write
2,5,8,3,Read/Write
3,1,9,4,Read/Write
1,2,9,3,Read/Write
5,4,9,5,Read/Write
4,3,8,2,Read/Write
1,2,8,1,Read/Write
1,1,7,3,Read/Write
5,4,10,4,Read/Write
1,4,1,10,Kinesthetic
2,5,5,7,Kinesthetic
3,3,5,8,Kinesthetic
4,5,1,10,Kinesthetic
3,1,2,7,Kinesthetic
2,5,4,7,Kinesthetic
4,5,5,8,Kinesthetic
5,3,3,9,Kinesthetic
5,1,5,9,Kinesthetic
5,4,2,8,Kinesthetic
1,2,3,9,Kinesthetic
2,5,1,7,Kinesthetic
4,3,5,10,Kinesthetic
4,3,2,8,Kinesthetic
5,2,2,7,Kinesthetic
4,3,2,7,Kinesthetic
5,5,4,8,Kinesthetic
3,5,4,7,Kinesthetic
2,3,4,9,Kinesthetic
5,5,2,7,Kinesthetic
3,3,2,7,Kinesthetic
1,1,3,8,Kinesthetic
1,1,4,10,Kinesthetic
1,4,1,8,Kinesthetic
3,3,3,8,Kinesthetic
15,7,5,8,Visual
14,8,6,7,Visual
13,9,7,8,Visual
7,15,6,8,Aural
8,14,7,7,Aural
6,13,8,9,Aural
8,7,15,6,Read/Write
7,8,14,7,Read/Write
6,9,13,8,Read/Write
7,8,6,15,Kinesthetic
8,7,7,14,Kinesthetic
9,6,8,13,Kinesthetic
12,12,9,9,Visual
11,13,10,8,Visual
10,14,11,7,Visual
9,12,12,9,Read/Write
8,13,13,8,Read/Write
7,14,14,7,Read/Write
8,9,12,12,Kinesthetic
7,8,13,13,Kinesthetic
6,7,14,14,Kinesthetic
12,12,12,12,Visual
10,13,14,13,Read/Write
13,10,13,14,Kinesthetic
20,13,10,12,Visual
19,14,11,12,Visual
18,13,12,13,Visual
12,20,11,13,Aural
13,19,12,12,Aural
11,18,13,14,Aural
13,12,20,11,Read/Write
12,13,19,12,Read/Write
11,14,18,13,Read/Write
12,13,11,20,Kinesthetic
13,12,12,19,Kinesthetic
14,11,13,18,Kinesthetic
18,17,16,15,Visual
20,15,15,16,Visual
15,18,16,17,Aural
16,20,15,15,Aural
16,15,18,17,Read/Write
15,16,20,15,Read/Write
15,16,17,18,Kinesthetic
16,15,15,20,Kinesthetic
17,17,17,17,Visual
18,18,16,16,Read/Write
16,18,18,16,Aural
16,16,18,18,Kinesthetic
15,15,10,10,Visual,Aural
10,15,15,10,Aural,Read/Write
10,10,15,15,Read/Write,Kinesthetic
15,10,10,15,Visual,Kinesthetic
12,12,12,12,Visual,Aural,Read/Write,Kinesthetic
18,18,16,16,Read/Write,Aural
16,18,18,16,Aural,Read/Write
16,16,18,18,Kinesthetic,Read/Write
17,17,17,17,Visual,Aural,Read/Write,Kinesthetic
20,15,15,16,Visual,Aural
15,20,15,16,Aural,Visual
15,15,20,16,Read/Write,Visual
15,15,16,20,Kinesthetic,Visual
